省份,城市,确诊,疑似,死亡,治愈,,,,,,,,
湖北省,武汉,50340,-,3869,46471,,,,,,,,
湖北省,孝感,3518,-,129,3389,,,,,,,,
湖北省,黄冈,2907,-,125,2782,,,,,,,,
湖北省,荆州,1580,-,52,1528,,,,,,,,
湖北省,鄂州,1394,-,59,1335,,,,,,,,
湖北省,随州,1307,-,45,1262,,,,,,,,
湖北省,襄阳,1175,-,40,1135,,,,,,,,
湖北省,黄石,1015,-,39,976,,,,,,,,
湖北省,宜昌,931,-,37,894,,,,,,,,
湖北省,荆门,928,-,41,887,,,,,,,,
湖北省,咸宁,836,-,15,821,,,,,,,,
湖北省,十堰,672,-,8,664,,,,,,,,
湖北省,仙桃,575,-,22,553,,,,,,,,
湖北省,天门,496,-,15,481,,,,,,,,
湖北省,恩施,252,-,7,245,,,,,,,,
湖北省,潜江,198,-,9,189,,,,,,,,
湖北省,神农架林区,11,-,0,11,,,,,,,,
广东省,广州,557,-,1,550,,,,,,,,
广东省,深圳,462,-,3,459,,,,,,,,
广东省,珠海,103,-,1,102,,,,,,,,
广东省,东莞,100,-,1,99,,,,,,,,4512
广东省,佛山,100,-,0,100,,,,,,,,
广东省,中山,69,-,0,69,,,,,,,,
广东省,惠州,62,-,0,62,,,,,,,,
广东省,汕头,26,-,0,26,,,,,,,,
广东省,江门,24,-,0,24,,,,,,,,
广东省,湛江,24,-,0,24,,,,,,,,
广东省,肇庆,20,-,1,19,,,,,,,,
广东省,梅州,17,-,0,17,,,,,,,,
广东省,茂名,14,-,0,14,,,,,,,,
广东省,阳江,14,-,0,14,,,,,,,,
广东省,清远,12,-,0,12,,,,,,,,
广东省,揭阳,11,-,0,11,,,,,,,,
广东省,韶关,10,-,1,9,,,,,,,,
广东省,潮州,6,-,0,6,,,,,,,,
广东省,河源,5,-,0,5,,,,,,,,
广东省,汕尾,5,-,0,5,,,,,,,,
河南省,信阳,274,-,2,272,,,,,,,,
河南省,郑州,157,-,5,152,,,,,,,,
河南省,南阳,156,-,3,153,,,,,,,,
河南省,驻马店,139,-,0,139,,,,,,,,
河南省,商丘,91,-,3,88,,,,,,,,
河南省,周口,76,-,1,75,,,,,,,,
河南省,平顶山,58,-,1,57,,,,,,,,
河南省,新乡,57,-,3,54,,,,,,,,
河南省,安阳,53,-,0,53,,,,,,,,
